"Sol","LocalTime","DecimalSol","Temperature","Temperature","Temperature"
"MartianDay","HH:MM:SS","(TimelineForGraphing)","1.0meter","0.5meters","0.25meters"
2,11:30:07,2.466424,-28.2,-24.2,-21.0
2,11:59:08,2.486035,-25.4,-20.8,-17.4
2,12:28:08,2.505635,-23.4,-18.8,-14.9
2,12:57:08,2.525235,-22.4,-17.8,-14.1
2,13:26:09,2.544851,-21.0,-16.5,-12.6
2,13:55:10,2.564458,-19.7,-15.3,-11.5
2,14:24:10,2.584058,-15.9,-13.0,-9.6
2,14:53:11,2.603669,-15.3,-13.6,-10.2
2,15:22:11,2.623269,-15.3,-12.7,-9.7
2,15:51:12,2.642880,-18.9,-18.2,-15.1
2,16:20:13,2.662490,-21.1,-20.9,-18.3
2,16:49:13,2.682092,-23.2,-23.2,-21.3
2,17:18:14,2.701703,-26.9,-26.9,-25.9
2,17:47:15,2.721314,-30.8,-31.1,-30.2
2,18:45:17,2.760537,-43.8,-43.9,-44.4
2,19:14:18,2.780148,-45.7,-46.1,-46.9
2,19:43:19,2.799760,-49.1,-49.4,-50.2
2,20:12:20,2.819371,-51.5,-51.8,-52.7
2,20:41:21,2.838982,-55.5,-55.8,-56.4
2,21:10:22,2.858594,-57.5,-57.7,-58.4
2,21:39:23,2.878205,-61.0,-61.6,-63.0
2,22:08:24,2.897816,-61.1,-61.2,-62.7
2,22:37:25,2.917428,-64.5,-64.9,-65.7
2,23:06:26,2.937039,-64.9,-65.5,-66.9
2,24:04:28,2.976262,-67.8,-68.5,-70.2
3,00:51:55,3.035084,-69.3,-70.0,-71.1
3,01:49:57,3.074307,-70.4,-70.7,-73.4
3,02:18:58,3.093918,-71.3,-71.5,-73.2
3,02:47:59,3.113530,-71.9,-72.3,-73.9
3,04:44:02,3.191964,-75.0,-75.4,-77.7
3,05:13:03,3.211575,-76.0,-76.4,-77.8
3,05:42:04,3.231186,-74.7,-74.9,-75.9
3,06:11:04,3.250786,-71.6,-71.7,-72.0
3,06:40:05,3.270398,-67.2,-66.8,-65.0
3,07:09:05,3.289998,-63.7,-63.0,-61.9
3,07:38:06,3.309609,-59.5,-58.6,-55.4
3,08:07:06,3.329209,-53.0,-51.9,-46.7
3,08:36:07,3.348820,-47.7,-46.9,-44.6
3,09:05:07,3.368421,-44.3,-42.3,-40.0
3,09:34:08,3.388032,-42.0,-39.9,-35.4
3,10:03:08,3.407632,-36.0,-34.1,-30.4
3,10:32:09,3.427243,-32.6,-28.8,-25.6
3,11:01:09,3.446843,-29.8,-26.0,-22.4
3,11:29:54,3.466274,-27.0,-23.5,-20.4
3,12:27:55,3.505486,-22.3,-19.2,-15.7
3,13:25:57,3.544708,-19.5,-14.6,-11.1
3,13:54:58,3.564320,-17.1,-14.0,-10.2
3,14:52:59,3.603531,-15.1,-12.5,-8.9
3,15:21:60,3.623142,-14.8,-12.4,-9.4
3,15:50:60,3.642742,-19.2,-18.4,-15.3
3,16:19:60,3.662343,-19.5,-19.2,-16.4
3,16:49:01,3.681954,-22.4,-22.2,-19.9
3,17:18:02,3.701565,-26.1,-25.7,-24.0
3,17:47:03,3.721177,-32.1,-32.3,-31.8
3,18:16:04,3.740788,-39.2,-39.4,-39.2
3,18:45:05,3.760399,-45.2,-45.2,-45.6
3,19:14:06,3.780010,-46.6,-46.7,-47.5
3,19:43:07,3.799622,-49.9,-50.1,-51.0
3,20:12:08,3.819233,-55.2,-55.8,-56.7
